2016-08-06 20:37:06.024 InstaSnap[2337:804351]  ,0.658378, 0.000000
2016-08-06 20:37:06.803 InstaSnap[2337:804351]  ,0.634421, 0.000000
2016-08-06 20:37:07.462 InstaSnap[2337:804351]  ,0.789334, 2.000000
2016-08-06 20:37:08.132 InstaSnap[2337:804351]  ,0.766873, 1.000000
2016-08-06 20:37:08.786 InstaSnap[2337:804351]  ,0.897618, 1.000000
2016-08-06 20:37:09.414 InstaSnap[2337:804351]  ,0.894662, 2.000000
2016-08-06 20:37:10.073 InstaSnap[2337:804351]  ,0.917603, 1.000000
2016-08-06 20:37:10.705 InstaSnap[2337:804351]  ,0.954307, 1.000000
2016-08-06 20:37:11.362 InstaSnap[2337:804351]  ,0.934735, 2.000000
2016-08-06 20:37:11.964 InstaSnap[2337:804351]  ,1.039893, 2.000000
2016-08-06 20:37:12.564 InstaSnap[2337:804351]  ,1.051210, 2.000000
2016-08-06 20:37:13.192 InstaSnap[2337:804351]  ,1.018153, 1.000000
2016-08-06 20:37:13.794 InstaSnap[2337:804351]  ,1.071814, 1.000000
2016-08-06 20:37:14.423 InstaSnap[2337:804351]  ,1.089636, 2.000000
2016-08-06 20:37:14.995 InstaSnap[2337:804351]  ,0.996143, 2.000000
2016-08-06 20:37:15.593 InstaSnap[2337:804351]  ,1.133838, 2.000000
2016-08-06 20:37:16.223 InstaSnap[2337:804351]  ,1.155092, 2.000000
2016-08-06 20:37:16.373 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.373 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.373 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.374 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.375 InstaSnap[2337:804351] go go go go
2016-08-06 20:37:16.375 InstaSnap[2337:804351] go go go go
