2016-08-06 20:40:39.849 InstaSnap[2346:808398]  ,0.985490, 0.000000
2016-08-06 20:40:40.478 InstaSnap[2346:808398]  ,0.963685, 1.000000
2016-08-06 20:40:41.107 InstaSnap[2346:808398]  ,0.889954, 1.000000
2016-08-06 20:40:41.768 InstaSnap[2346:808398]  ,0.988416, 2.000000
2016-08-06 20:40:42.368 InstaSnap[2346:808398]  ,0.973526, 2.000000
2016-08-06 20:40:43.028 InstaSnap[2346:808398]  ,0.951526, 2.000000
2016-08-06 20:40:43.658 InstaSnap[2346:808398]  ,0.999026, 1.000000
2016-08-06 20:40:44.257 InstaSnap[2346:808398]  ,0.985352, 1.000000
2016-08-06 20:40:44.922 InstaSnap[2346:808398]  ,1.057385, 2.000000
2016-08-06 20:40:45.521 InstaSnap[2346:808398]  ,1.061223, 2.000000
2016-08-06 20:40:46.149 InstaSnap[2346:808398]  ,0.990090, 2.000000
2016-08-06 20:40:46.778 InstaSnap[2346:808398]  ,1.055572, 2.000000
2016-08-06 20:40:47.408 InstaSnap[2346:808398]  ,0.979429, 2.000000
2016-08-06 20:40:48.069 InstaSnap[2346:808398]  ,0.936059, 1.000000
2016-08-06 20:40:48.697 InstaSnap[2346:808398]  ,0.980384, 1.000000
2016-08-06 20:40:49.299 InstaSnap[2346:808398]  ,0.961424, 2.000000
2016-08-06 20:40:49.927 InstaSnap[2346:808398]  ,1.013438, 2.000000
2016-08-06 20:40:50.048 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.048 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.048 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.049 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.049 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.049 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.049 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.049 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.051 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.054 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.056 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.057 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.059 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.059 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.060 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.060 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.060 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.060 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.062 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.063 InstaSnap[2346:808398] go go go go
2016-08-06 20:40:50.530 InstaSnap[2346:808398]  ,1.103385, 2.000000
2016-08-06 20:40:51.129 InstaSnap[2346:808398]  ,1.031621, 1.000000
2016-08-06 20:40:51.668 InstaSnap[2346:808398]  ,1.197189, 1.000000
2016-08-06 20:40:52.178 InstaSnap[2346:808398]  ,1.503500, 2.000000
2016-08-06 20:40:52.688 InstaSnap[2346:808398]  ,1.608301, 2.000000
2016-08-06 20:40:53.168 InstaSnap[2346:808398]  ,1.716669, 2.000000
2016-08-06 20:40:53.649 InstaSnap[2346:808398]  ,1.806597, 3.000000
2016-08-06 20:40:54.128 InstaSnap[2346:808398]  ,1.963148, 3.000000
2016-08-06 20:40:54.608 InstaSnap[2346:808398]  ,1.864669, 2.000000
2016-08-06 20:40:55.058 InstaSnap[2346:808398]  ,1.934881, 2.000000
2016-08-06 20:40:55.538 InstaSnap[2346:808398]  ,1.842915, 2.000000
2016-08-06 20:40:56.018 InstaSnap[2346:808398]  ,1.943862, 2.000000
2016-08-06 20:40:56.467 InstaSnap[2346:808398]  ,1.981285, 2.000000
2016-08-06 20:40:56.918 InstaSnap[2346:808398]  ,1.997573, 3.000000
2016-08-06 20:40:57.367 InstaSnap[2346:808398]  ,2.038240, 3.000000
2016-08-06 20:40:57.818 InstaSnap[2346:808398]  ,1.977815, 2.000000
2016-08-06 20:40:58.298 InstaSnap[2346:808398]  ,1.907346, 2.000000
2016-08-06 20:40:58.719 InstaSnap[2346:808398]  ,1.805671, 2.000000
2016-08-06 20:40:59.200 InstaSnap[2346:808398]  ,1.714356, 2.000000
